EAEKOD_COD,Izena_Nomb,Zentro_mot,Info_gehia,Info_geh_1
014127,CEIP MINA DEL MORRO HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014127,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014127
015459,EIC BILBOKO HAURRESKOLA-MINA DEL MORRO PHE,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015459,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015459
014130,CEIP MAESTRA ISABEL GALLEGO GORRIA HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014130,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014130
014612,CPEE ALDAMIZ HBIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014612,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014612
014615,CPES ALMI BHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014615,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014615
014657,CPEIPS LA INMACULADA-HIJAS DE JESÚS HLBHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014657,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014657
014620,CPES ARANGOYA BHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014620,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014620
014111,CEIP CERVANTES HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014111,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014111
014924,CEIP SAN INAZIO/SAN IGNACIO HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014924,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014924
015652,EIC BILBOKO HAURRESKOLA-CERVANTES PHE,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015652,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015652
014689,CPEIPS SAGRADO CORAZÓN HLBHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014689,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014689
015271,CAPM ARTEBI MIBP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015271,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015271
