zona,centro,puntos
430101-SAN INAZIO - IBARREKOLANDA,014509 - CEIP Intxixu Ikastola HLHI,max
430101-SAN INAZIO - IBARREKOLANDA,014924 - CEIP San Inazio-San Ignacio HLHI,max
430102-SAN PEDRO - DEUSTUIBARRA,014509 - CEIP Intxixu Ikastola HLHI,min
430102-SAN PEDRO - DEUSTUIBARRA,014924 - CEIP San Inazio-San Ignacio HLHI,min
430103-ARANGOITI,014509 - CEIP Intxixu Ikastola HLHI,min
430103-ARANGOITI,014924 - CEIP San Inazio-San Ignacio HLHI,min
430102-SAN PEDRO - DEUSTUIBARRA,014114 - CEIP Deusto HLHI,max
430102-SAN PEDRO - DEUSTUIBARRA,014508 - CPI Deustuko Ikastola IPI,max
430101-SAN INAZIO - IBARREKOLANDA,014114 - CEIP Deusto HLHI,min
430103-ARANGOITI,014114 - CEIP Deusto HLHI,min
430104-OLABEAGA,014114 - CEIP Deusto HLHI,min
430101-SAN INAZIO - IBARREKOLANDA,014508 - CPI Deustuko Ikastola IPI,min
430103-ARANGOITI,014508 - CPI Deustuko Ikastola IPI,min
430104-OLABEAGA,014508 - CPI Deustuko Ikastola IPI,min
430103-ARANGOITI,014129 - CEIP Arangoiti HLHI,max
430101-SAN INAZIO - IBARREKOLANDA,014129 - CEIP Arangoiti HLHI,min
430102-SAN PEDRO - DEUSTUIBARRA,014129 - CEIP Arangoiti HLHI,min
430201-CASTAÑOS - MATIKO - URIBARRI,014149 - CEIP Sra. Vda. De Epalza HLH,max
430201-CASTAÑOS - MATIKO - URIBARRI,014153 - CEIP Uribarri HLHI,max
430202-ZURBARAN - ARABELLA,014149 - CEIP Sra. Vda. De Epalza HLH,min
430203-PLAZA DEL GAS,014149 - CEIP Sra. Vda. De Epalza HLH,min
430202-ZURBARAN - ARABELLA,014153 - CEIP Uribarri HLHI,min
430203-PLAZA DEL GAS,014153 - CEIP Uribarri HLHI,min
430202-ZURBARAN - ARABELLA,014160 - CEIP Zurbaran HLHI,max
430202-ZURBARAN - ARABELLA,014161 - CEIP Zurbaranbarri HLHI,max
430201-CASTAÑOS - MATIKO - URIBARRI,014160 - CEIP Zurbaran HLHI,min
430201-CASTAÑOS - MATIKO - URIBARRI,014161 - CEIP Zurbaranbarri HLHI,min
430301-OTXARKOAGA - TXURDINAGA,014105 - CEIP Artatse HLHI,max
430301-OTXARKOAGA - TXURDINAGA,014109 - CEIP Birjinetxe HLHI,max
430301-OTXARKOAGA - TXURDINAGA,015733 - CEIP Otxarkoaga HLHI,max
430301-OTXARKOAGA - TXURDINAGA,014137 - CEIP Pío Baroja HLHI,max
430301-OTXARKOAGA - TXURDINAGA,014151 - CEIP Txurdinaga HLHI,max
430302-BEGOÑA,014105 - CEIP Artatse HLHI,min
430302-BEGOÑA,014109 - CEIP Birjinetxe HLHI,min
430302-BEGOÑA,015733 - CEIP Otxarkoaga HLHI,min
430302-BEGOÑA,014137 - CEIP Pío Baroja HLHI,min
430302-BEGOÑA,014151 - CEIP Txurdinaga HLHI,min
430302-BEGOÑA,014126 - CEIP Luis Briñas-Santutxu HLHI,max
430302-BEGOÑA,014127 - CEIP Mina Del Morro HLHI,max
430302-BEGOÑA,014510 - CPI Karmelo Ikastola IPI,max
430301-OTXARKOAGA - TXURDINAGA,014126 - CEIP Luis Briñas-Santutxu HLHI,min
430301-OTXARKOAGA - TXURDINAGA,014127 - CEIP Mina Del Morro HLHI,min
430301-OTXARKOAGA - TXURDINAGA,014510 - CPI Karmelo Ikastola IPI,min
430501-ZAZPIKALEAK,015099 - CEIP Mujika HLHI,max
430501-ZAZPIKALEAK,015077 - IES Solokoetxe BHI,max
430502-ATXURI,015099 - CEIP Mujika HLHI,min
430503-SAN FRANTZISKO - BILBOZAHARRA,015099 - CEIP Mujika HLHI,min
430504-ZABALA,015099 - CEIP Mujika HLHI,min
430505-SAN ADRIAN,015099 - CEIP Mujika HLHI,min
430506-LA PEÑA,015099 - CEIP Mujika HLHI,min
430502-ATXURI,015077 - IES Solokoetxe BHI,min
430503-SAN FRANTZISKO - BILBOZAHARRA,015077 - IES Solokoetxe BHI,min
430504-ZABALA,015077 - IES Solokoetxe BHI,min
430505-SAN ADRIAN,015077 - IES Solokoetxe BHI,min
430506-LA PEÑA,015077 - IES Solokoetxe BHI,min
430503-SAN FRANTZISKO - BILBOZAHARRA,015360 - CEIP Miribilla HLHI,max
430501-ZAZPIKALEAK,015360 - CEIP Miribilla HLHI,min
430502-ATXURI,015360 - CEIP Miribilla HLHI,min
430504-ZABALA,015360 - CEIP Miribilla HLHI,min
430505-SAN ADRIAN,015360 - CEIP Miribilla HLHI,min
430506-LA PEÑA,015360 - CEIP Miribilla HLHI,min
430504-ZABALA,015361 - CEIP Iruarteta HLHI,max
430501-ZAZPIKALEAK,015361 - CEIP Iruarteta HLHI,min
430502-ATXURI,015361 - CEIP Iruarteta HLHI,min
430503-SAN FRANTZISKO - BILBOZAHARRA,015361 - CEIP Iruarteta HLHI,min
430505-SAN ADRIAN,015361 - CEIP Iruarteta HLHI,min
430506-LA PEÑA,015361 - CEIP Iruarteta HLHI,min
430505-SAN ADRIAN,014140 - CEIP Pagasarribide HLHI,max
430501-ZAZPIKALEAK,014140 - CEIP Pagasarribide HLHI,min
430502-ATXURI,014140 - CEIP Pagasarribide HLHI,min
430503-SAN FRANTZISKO - BILBOZAHARRA,014140 - CEIP Pagasarribide HLHI,min
430504-ZABALA,014140 - CEIP Pagasarribide HLHI,min
430506-LA PEÑA,014140 - CEIP Pagasarribide HLHI,min
430506-LA PEÑA,014157 - CEIP Zamakola-Juan Delmas HLHI,max
430501-ZAZPIKALEAK,014157 - CEIP Zamakola-Juan Delmas HLHI,min
430502-ATXURI,014157 - CEIP Zamakola-Juan Delmas HLHI,min
430503-SAN FRANTZISKO - BILBOZAHARRA,014157 - CEIP Zamakola-Juan Delmas HLHI,min
430504-ZABALA,014157 - CEIP Zamakola-Juan Delmas HLHI,min
430505-SAN ADRIAN,014157 - CEIP Zamakola-Juan Delmas HLHI,min
430601-ABANDO,014111 - CEIP Cervantes HLHI,max
430601-ABANDO,014124 - CEIP Juan M. Sánchez Marcos HLHI,max
430602-INDAUTXU,014111 - CEIP Cervantes HLHI,min
430602-INDAUTXU,014124 - CEIP Juan M. Sánchez Marcos HLHI,min
430602-INDAUTXU,014117 - CEIP Indautxuko Eskola HLHI,max
430601-ABANDO,014117 - CEIP Indautxuko Eskola HLHI,min
